Album Released this year
Teleparty
Worth It
Better Half
Better Half (Japanese Ver.)
When The Stars Gossip OST Part.4
BEAM
Moon
Good Day 2025 (Telepathy + By the Moonlight Window)
Resident Playbook OST Part.7
Happy Burstday
Echo!
Til My Fingers Bleed
Where Love Passed
Gogae
Love Is Gone
